rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,root-servers.net,Technology
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,microsoft.com,Information Technology;Business
8,tiktokcdn.com,Content Servers;Social Networks
9,amazonaws.com,Technology
10,googlevideo.com,Search Engines;Video Streaming
11,cloudflare.com,Technology
12,fbcdn.net,Social Networks
13,doubleclick.net,Advertisements
14,youtube.com,Video Streaming
15,apple-dns.net,Content Servers
16,icloud.com,File Sharing;Content Servers
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,amazon.com,Ecommerce
19,googleusercontent.com,Content Servers
20,akadns.net,Content Servers
21,tiktokv.com,Social Networks;Video Streaming
22,instagram.com,Social Networks
23,googlesyndication.com,Search Engines;Advertisements
24,akamai.net,Content Servers
25,gvt2.com,Content Servers
26,ntp.org,Technology;Government
27,cloudfront.net,Content Servers;Science;Technology
28,akamaiedge.net,Content Servers
29,cloudflare-dns.com,Content Servers
30,live.com,Technology;Webmail
31,cdn77.org,Content Servers
32,bing.com,Search Engines
33,aaplimg.com,Information Technology;Content Servers;Technology
34,ytimg.com,Content Servers
35,netflix.com,Movies;Video Streaming
36,cdninstagram.com,Content Servers
37,google-analytics.com,Business;Technology
38,spotify.com,Audio Streaming
39,office.com,Technology
40,yahoo.com,News & Media
41,bytefcdn-oversea.com,
42,gvt1.com,Content Servers
43,googleadservices.com,Advertisements
44,snapchat.com,Social Networks
45,twitter.com,Social Networks
46,app-measurement.com,APIs
47,dns.google,Information Technology
48,amazon-adsystem.com,Advertisements
49,one.one,Information Technology
50,fastly.net,Information Security;Information Technology;Technology
51,unity3d.com,Gaming;Technology
52,msftncsi.com,Content Servers
53,ttlivecdn.com,Content Servers
54,digicert.com,Information Security
55,ui.com,Technology
56,app-analytics-services.com,Content Servers
57,applovin.com,Business;Technology
58,azure.com,Technology
59,googletagmanager.com,Content Servers
60,trafficmanager.net,Information Technology;Content Servers
61,samsung.com,Home & Garden;Technology
62,msn.com,News & Media
63,ggpht.com,Content Servers
64,criteo.com,Business
65,skype.com,Instant Messengers;Internet Phone & VOIP
66,baidu.com,Search Engines
67,roblox.com,Gaming;Safe for Kids
68,linkedin.com,Professional Networking
69,wikipedia.org,Education
70,pki.goog,Information Security
71,microsoftonline.com,Technology
72,office365.com,Technology
73,xiaomi.com,Technology
74,bytefcdn-ttpeu.com,Content Servers
75,windows.net,Technology
76,sentry.io,Business
77,rocket-cdn.com,Content Servers
78,office.net,Content Servers
79,windows.com,Information Technology
80,gmail.com,Webmail
81,2mdn.net,Content Servers
82,taboola.com,Business;Advertisements
83,3gppnetwork.org,Content Servers
84,doubleverify.com,Business;Technology
85,android.com,Technology
86,lencr.org,Information Technology
87,qq.com,News & Media
88,tiktokcdn-us.com,Content Servers
89,rbxcdn.com,Content Servers
90,example.com,Technology
91,appsflyersdk.com,Content Servers;APIs
92,casalemedia.com,Advertisements
93,cdn-apple.com,Content Servers
94,windowsupdate.com,Information Technology;Business
95,smartadserver.com,Advertisements
96,azureedge.net,Content Servers
97,sharepoint.com,File Sharing;Technology
98,mzstatic.com,Information Technology;Technology
99,rubiconproject.com,Advertisements
100,miui.com,Technology
